scenario,pipeline_id,anomaly_id,old_cols,new_cols,cols_changed,detective_urgency,detective_trigger,detective_intentional,detective_action,fixer_confidence,fixer_code_length,critic_syntax,critic_logic,critic_safety,critic_recommendation,final_recommendation,proceed_with_fix,all_agents_agree,generation_time_sec,timestamp
add_ab_test_variant,11,11,2,4,2,High. A schema change can disrupt data flow and affect downstream processes and applications.,This could be triggered by either a business_requirement or data_migration.,"Unclear. Without further information, it is not possible to determine if this was an intentional change or an accidental one.",Investigate_further. It's important to understand why the schema was changed and whether it was intentional or not.,90,319,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,28.38,2026-01-02T13:11:18.989030
add_iot_telemetry,12,12,2,4,2,high,unknown,unclear,investigate_further,90,205,valid,solves_root_cause,60,approve_with_caution,human_review_recommended,True,False,29.48,2026-01-02T13:11:58.622906
add_geo_location,13,13,2,4,2,Medium. The urgency of this issue depends on how critical the new data is for downstream applications and how quickly they can adapt to the new schema.,This could be triggered by either an upstream API change or a new business requirement.,"Unclear. The addition of new columns could be intentional due to new business requirements, or it could be accidental if it's due to an upstream API change that wasn't communicated or coordinated properly.","Investigate further. It's important to confirm whether the schema change was intentional or accidental, and to coordinate with the upstream data source and downstream consumers to ensure a smooth transition.",90,184,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,26.6,2026-01-02T13:12:35.349830
int_to_bigint_migration,14,14,2,2,0,"Medium. While the pipeline has failed due to this schema drift, the severity of the impact depends on how the 'id' column is used downstream. If 'id' is used in joins or where conditions, this could cause type mismatch errors or incorrect results.",This could be due to a schema_refactor or data_migration.,"Unclear. It could be intentional if the 'id' values have exceeded the maximum limit for integers, requiring a change to 'bigint'. However, it could also be accidental if the change was not communicated or documented properly.","Investigate_further. We need to confirm whether this change was intentional and understand the reasons behind it. If it was intentional, we need to update the pipeline to handle the new 'bigint' data type. If it was accidental, we need to revert the change and fix the pipeline.",100,47,[uncertain],[misses_root_cause],50,[reject],reject_unsafe,False,False,22.28,2026-01-02T13:13:07.775830
varchar_to_text_expand,15,15,2,2,0,Medium,[upstream_api | business_requirement | data_migration | schema_refactor | unknown],Unclear,Investigate further,100,52,N/A,misses_root_cause,70,needs_revision,human_review_recommended,False,False,23.22,2026-01-02T13:13:41.145741
split_full_name,16,16,2,3,1,"Medium. The urgency depends on how critical the affected data is to the business operations. If the data is used in real-time decision making, the urgency could be high.",This could be due to a business_requirement or schema_refactor.,"Unclear without more information, but it's likely intentional if the change was due to a business requirement or schema refactor.",Immediate_fix is necessary to ensure data integrity and continuity of business operations.,90,279,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,30.93,2026-01-02T13:14:22.242250
normalize_address,17,17,2,4,2,"Medium. The urgency of this issue depends on how critical the affected data is to the business operations. If the new columns are required for business operations or reporting, then this could be a high priority issue. However, if the new columns are not immediately required, then this could be a medium or low priority issue.",[upstream_api | business_requirement | data_migration | schema_refactor | unknown],"Unclear. The change could be intentional if there was a business requirement to add more detailed address information, or it could be accidental if it was a result of an error in an upstream API or data migration process.","Investigate further. It's necessary to determine whether this change was intentional or accidental, and if it was intentional, what the new columns are for. If it was accidental, the schema should be reverted back to its original state. If it was intentional, the downstream systems and reports need to be updated to accommodate the new schema.",90,191,valid,solves_root_cause,50,approve_with_caution,reject_unsafe,True,False,27.22,2026-01-02T13:14:59.641573
add_integer_column,18,18,1,2,1,"Medium. The urgency of this issue depends on how critical the affected pipeline is for the business operations. If the pipeline feeds into critical dashboards or reports, the urgency could be high.","The trigger could be any of the following: upstream_api, data_migration, schema_refactor, or a business_requirement. Without further information, it's hard to pinpoint the exact cause.",Unclear. The addition of a new column could be intentional (due to a new business requirement or a schema refactor) or accidental (due to a mistake in an upstream API or during data migration).,"Investigate_further. It's important to understand the source of the schema change and whether it was intentional or not. If it was intentional, the pipeline and all downstream systems need to be updated to accommodate the new schema. If it was accidental, the source of the change needs to be corrected.",90,105,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,29.51,2026-01-02T13:15:39.309237
add_varchar_column,19,19,1,2,1,Medium. The urgency depends on how critical the new column is to the business operations and how many downstream processes are affected.,"The trigger could be any of the following: upstream_api, business_requirement, data_migration, schema_refactor. The exact trigger is unknown without further information.","Unclear. The addition of a new column could have been intentional due to a new business requirement or a data migration, or it could have been accidental.","Investigate further. It's necessary to understand whether the schema change was intentional or accidental, and to assess the impact on downstream processes.",90,59,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,27.04,2026-01-02T13:16:16.493672
add_decimal_column,20,20,1,2,1,[critical | high | medium | low],[upstream_api | business_requirement | data_migration | schema_refactor | unknown],[yes | no | unclear],investigate_further,90,288,[valid],[solves_root_cause],50,[approve_with_caution],reject_unsafe,False,False,27.58,2026-01-02T13:16:54.226483
add_boolean_column,21,21,1,2,1,Medium. The urgency of this issue would depend on how critical the affected data pipeline is to business operations and how many downstream systems rely on this data.,"The trigger for this change is unclear based solely on the provided information. It could be due to an upstream API change, a new business requirement, data migration, or schema refactor.","Unclear. Without additional context, it's not possible to determine if this change was intentional or accidental.","Investigate further. It's important to understand why this change occurred and whether it was intentional. If it was intentional, the downstream systems may need to be updated to accommodate the new schema. If it was accidental, the change may need to be reverted.",90,114,valid,misses_root_cause,50,needs_revision,reject_unsafe,False,False,35.22,2026-01-02T13:17:39.624050
add_timestamp_column,22,22,1,2,1,Medium. The urgency of this issue depends on how critical the new column is to the downstream applications and how quickly they can adapt to the new schema.,[upstream_api | business_requirement | data_migration | schema_refactor | unknown],Unclear. The addition of a new column could be due to a new business requirement or a change in the upstream API. This needs to be confirmed with the team responsible for the schema change.,Investigate further. We need to confirm the reason for the schema change and coordinate with the downstream applications to update their systems to accommodate the new schema.,95,134,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,27.06,2026-01-02T13:18:16.884532
add_date_column,23,23,1,2,1,Medium. The urgency of this issue depends on how critical the new data is for the business and how many downstream systems are affected.,"This could be triggered by either an upstream API change, a business requirement, or a schema refactor. The exact trigger is unknown without further information.",Unclear. It could be intentional if it was a business requirement or a schema refactor. It could be accidental if it was an upstream API change that was not communicated or understood.,Investigate further to understand the reason for the schema change and then decide on the appropriate action.,90,48,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,25.4,2026-01-02T13:18:52.449941
add_text_column,24,24,1,2,1,Medium,[upstream_api | business_requirement | data_migration | schema_refactor | unknown],Unclear,Investigate further,90,56,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,30.97,2026-01-02T13:19:33.574888
add_json_column,25,25,1,2,1,"Medium. While schema changes can cause data processing issues, the urgency of the issue depends on how critical the affected data and processes are to the business.","The trigger for this change is unclear based on the provided information. It could be an upstream API change, a business requirement, a data migration, or a schema refactor.","Unclear. Without additional context, it's impossible to determine whether the change was intentional or accidental.","Investigate further. It's important to understand the reason for the schema change and whether it was intentional. If it was, the downstream systems and processes may need to be updated to accommodate the new schema. If it was not, the change may need to be reversed.",95,173,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,26.35,2026-01-02T13:20:10.063327
add_uuid_column,26,26,1,2,1,Medium. The urgency of this issue depends on how critical the new column is and how it affects the downstream applications.,"This could be triggered by any of the following: upstream_api, business_requirement, data_migration, or schema_refactor. Without more information, it's hard to determine the exact cause.",Unclear. The addition of a new column could be intentional due to a new business requirement or accidental if it was a result of a data migration or schema refactor.,Investigate further. It's important to understand why the schema change occurred and whether it was intentional or accidental before deciding on the next steps.,90,163,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,22.22,2026-01-02T13:20:42.459432
add_bigint_column,27,27,1,2,1,Medium. The urgency of this issue depends on how critical the new column is for the downstream applications and how soon they need to start using it.,"This could be triggered by any of the following: upstream_api, business_requirement, data_migration, or schema_refactor. The exact trigger is unknown without further information.","Unclear. The addition of a new column could be intentional due to a new business requirement or data migration, or it could be accidental.","Investigate further. It's important to understand the reason for the schema change and whether it was intentional or not. If it was intentional, the downstream applications need to be updated to handle the new column. If it was not, the schema change needs to be reverted.",90,57,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,23.24,2026-01-02T13:21:15.880812
add_2_columns,28,28,1,3,2,high,unknown,unclear,investigate_further,90,286,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,24.47,2026-01-02T13:21:50.522061
add_3_columns,29,29,1,4,3,high,unknown,unclear,investigate_further,90,323,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,32.92,2026-01-02T13:22:33.621508
add_4_columns,30,30,1,5,4,[high],[unknown],[unclear],[investigate_further],90,383,[valid],[solves_root_cause],50,[approve_with_caution],reject_unsafe,False,False,26.81,2026-01-02T13:23:10.587141
add_5_columns,31,31,1,6,5,[high],[unknown],[unclear],[investigate_further],90,384,[valid],[solves_root_cause],50,[approve_with_caution],reject_unsafe,False,False,29.98,2026-01-02T13:23:50.739585
add_6_columns,32,32,1,7,6,high,unknown,unclear,investigate_further,90,285,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,32.59,2026-01-02T13:24:33.517019
remove_column_0,33,33,3,2,-1,"Medium. The urgency depends on how critical the ""deprecated_0"" column is for downstream processes.",This could be due to a schema_refactor or data_migration.,"Unclear. It could be intentional if the ""deprecated_0"" column is no longer needed, or accidental if it was removed erroneously.","Investigate_further. We need to confirm whether the removal of the ""deprecated_0"" column was intentional or not.",90,230,valid,solves_root_cause,60,approve_with_caution,human_review_recommended,True,False,31.7,2026-01-02T13:25:15.354424
remove_column_1,34,34,3,2,-1,"Medium. The urgency depends on how critical the ""deprecated_1"" column is to downstream processes. If it's not used, the urgency is low. If it's used in critical reports or dashboards, the urgency could be high.",This could be due to a schema_refactor or data_migration.,"Unclear. The column is named ""deprecated_1"" which suggests it may have been intentionally removed. However, without further information, this cannot be confirmed.","Investigate_further. We need to determine if the removal of the ""deprecated_1"" column was intentional and understand its impact on downstream processes.",100,159,[uncertain],[misses_root_cause],50,[approve_with_caution],reject_unsafe,False,False,24.76,2026-01-02T13:25:50.287445
remove_column_2,35,35,3,2,-1,"Medium. The urgency of this issue depends on how critical the ""deprecated_2"" column is to downstream applications. If it's not used frequently, the urgency could be low. However, if it's used in key reports or dashboards, the urgency could be high.",This could be due to a schema_refactor or data_migration.,"Unclear. The column name ""deprecated_2"" suggests it might have been intentionally removed, but without further information, it's hard to say for certain.","Investigate_further. We need to understand why the column was removed and whether it was intentional. If it was unintentional, we need to restore the column. If it was intentional, we need to update downstream applications to reflect this change.",90,48,valid,misses_root_cause,30,needs_revision,reject_unsafe,False,False,29.28,2026-01-02T13:26:29.754236
remove_column_3,36,36,3,2,-1,Medium. The urgency of this issue depends on whether the removed column was being used in any downstream processes or not.,This could be due to a schema_refactor or data_migration.,"Unclear. The column is named ""deprecated_3"", which suggests it might have been intentionally removed, but without further information, it's hard to say for sure.",Investigate_further. We need to determine why the column was removed and whether it was intentional or not.,90,109,valid,misses_root_cause,20,reject,reject_unsafe,False,False,20.51,2026-01-02T13:27:00.421358
remove_column_4,37,37,3,2,-1,"Medium. The urgency of this issue depends on whether any downstream processes rely on the ""deprecated_4"" column. If they do, this could be a high priority issue. If not, it may be a low priority issue.",This could be due to a schema_refactor or data_migration.,"Unclear. The column name ""deprecated_4"" suggests it might have been intentionally removed, but without further information, it's hard to say for certain.","Investigate_further. We need to determine if the removal of the ""deprecated_4"" column was intentional and if any downstream processes rely on this column.",90,48,valid,misses_root_cause,50,needs_revision,reject_unsafe,False,False,21.0,2026-01-02T13:27:31.618709
retail_inventory_tracking,38,38,2,4,2,"High. Schema changes can cause data ingestion failures and impact downstream applications, reports, and dashboards that rely on the original schema.","This could be due to a business_requirement or schema_refactor, but without further information, it's unknown.","Unclear. The addition of new columns could be intentional if it was due to a new business requirement or schema refactor. However, if it was not communicated or documented properly, it could be seen as accidental.","Investigate_further. We need to identify the source of the schema change and understand whether it was intentional or not. If it was intentional, we need to coordinate with the relevant teams to update the downstream components to handle the new schema. If it was not intentional, we need to revert the changes and investigate how they occurred to prevent similar incidents in the future.",90,81,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,27.16,2026-01-02T13:28:08.909785
edu_student_grades,39,39,2,4,2,"High. The schema change can cause failures in data ingestion, processing, or any downstream applications that rely on the old schema.","The trigger could be a business_requirement or data_migration, but it's not explicitly stated.",Unclear. The addition of new columns could be intentional due to new business requirements or accidental if it was a result of a data migration or schema refactor.,Investigate_further. We need to determine whether this schema change was intentional or accidental.,90,162,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,23.75,2026-01-02T13:28:42.866806
logistics_route_optimization,40,40,2,4,2,"High. Schema changes can have significant downstream impacts, potentially causing failures in data pipelines and inaccuracies in reports and dashboards.","The trigger for this change is unclear from the information provided. It could be due to an upstream API change, a new business requirement, or a data migration.","Unclear. Without further information, it's not possible to determine whether the schema change was intentional or accidental.","Investigate further. The root cause of the schema change needs to be determined, and the downstream impacts need to be assessed. If the change was intentional, the data pipeline may need to be updated to accommodate the new schema. If it was accidental, the schema may need to be reverted.",90,208,valid,solves_root_cause,70,approve_with_caution,human_review_recommended,True,False,34.44,2026-01-02T13:29:27.451052
